id; last_times_detected; lifetime; left_lifetime; detection_confidence; blinking_freq; movement_vector; last_positions;
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 211; 10; 66; 15.0; (-4.6875, 3.3125); [(644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 212; 9; 67; 15.0; (-4.6875, 3.3125); [(644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 213; 10; 68; 15.0; (-4.666666666666667, 3.3333333333333335); [(639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 214; 9; 69; 15.0; (-4.666666666666667, 3.3333333333333335); [(639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 215; 10; 70; 15.0; (-4.733333333333333, 3.2666666666666666); [(635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 216; 9; 71; 15.0; (-4.733333333333333, 3.2666666666666666); [(635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 217; 10; 72; 15.0; (-4.714285714285714, 3.357142857142857); [(629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 218; 9; 73; 15.0; (-4.714285714285714, 3.357142857142857); [(629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 219; 10; 74; 15.0; (-4.785714285714286, 3.2142857142857144); [(625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 220; 9; 75; 15.0; (-4.785714285714286, 3.2142857142857144); [(625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0)];
